brand,total_users,total_app_opens,engagement_ratio
HMD Global,9185940.0,906168456.0,98.65
Tecno,531923701.0,31818603398.0,59.82
Huawei,1871192204.0,88424845540.0,47.26
Gionee,89876740.0,4182563578.0,46.54
Lenovo,1355497433.0,60117510485.0,44.35
OnePlus,1919390718.0,77925898204.0,40.6
Asus,100921712.0,3965320634.0,39.29
Motorola,2385454528.0,88529569238.0,37.11
Infinix,265687569.0,9494116101.0,35.73
Apple,2986895195.0,84675446358.0,28.35
Lava,87939733.0,2306042775.0,26.22
Micromax,374134887.0,9734937478.0,26.02
Realme,7627877117.0,92416204449.0,12.12
Others,10007635021.0,92416204449.0,9.23
Oppo,14466038722.0,92416204449.0,6.39
Vivo,21529608225.0,92416204449.0,4.29
Samsung,22719340202.0,92416204449.0,4.07
Xiaomi,29752835219.0,92416204449.0,3.11
COOLPAD,10.0,0.0,0.0
Lyf,20336.0,0.0,0.0
