State,Year,Quater,Pincode,P_Count,P_Amount
andaman-&-nicobar-islands,2020,2,744301,3,565.0
andaman-&-nicobar-islands,2020,3,744112,9,3432.0
andaman-&-nicobar-islands,2020,4,744105,25,25659.0
andaman-&-nicobar-islands,2021,1,744105,47,53060.0
andaman-&-nicobar-islands,2021,2,744103,36,33716.0
andaman-&-nicobar-islands,2021,3,744105,70,82425.0
andaman-&-nicobar-islands,2021,4,744105,194,232344.0
andaman-&-nicobar-islands,2022,1,744103,174,226181.0
andaman-&-nicobar-islands,2022,2,744103,97,156861.0
andaman-&-nicobar-islands,2022,3,744103,151,198569.0
andaman-&-nicobar-islands,2022,4,744103,199,299036.0
andaman-&-nicobar-islands,2023,1,744103,236,286594.0
andaman-&-nicobar-islands,2023,2,744103,171,341853.0
andaman-&-nicobar-islands,2023,3,744103,191,306744.0
andaman-&-nicobar-islands,2023,4,744103,268,415144.0
andaman-&-nicobar-islands,2024,1,744103,302,456306.0
andaman-&-nicobar-islands,2024,2,744103,285,438830.0
andaman-&-nicobar-islands,2024,3,744103,359,554559.0
andaman-&-nicobar-islands,2024,4,744103,369,521509.0
andhra-pradesh,2020,2,515001,540,86088.0
andhra-pradesh,2020,3,535003,968,195870.0
andhra-pradesh,2020,4,515001,292,120291.0
andhra-pradesh,2021,1,530016,287,144342.0
andhra-pradesh,2021,2,523002,1409,631953.0
andhra-pradesh,2021,3,520010,299,246736.0
andhra-pradesh,2021,4,524004,568,468698.0
andhra-pradesh,2022,1,523001,501,553651.0
andhra-pradesh,2022,2,520010,394,411471.0
andhra-pradesh,2022,3,524002,485,506293.0
andhra-pradesh,2022,4,517507,596,856272.0
andhra-pradesh,2023,1,517507,468,848915.0
andhra-pradesh,2023,2,517507,616,969092.0
andhra-pradesh,2023,3,517507,681,926705.0
andhra-pradesh,2023,4,530016,563,837356.0
andhra-pradesh,2024,1,530016,548,763795.0
andhra-pradesh,2024,2,530016,567,878988.0
andhra-pradesh,2024,3,517501,868,1419641.0
andhra-pradesh,2024,4,517501,927,1356884.0
arunachal-pradesh,2020,2,791113,21,3445.0
arunachal-pradesh,2020,3,791110,21,4213.0
arunachal-pradesh,2020,4,791113,18,5383.0
arunachal-pradesh,2021,1,791110,21,32836.0
arunachal-pradesh,2021,2,791110,26,14352.0
arunachal-pradesh,2021,3,791001,21,57300.0
arunachal-pradesh,2021,4,791110,44,84245.0
arunachal-pradesh,2022,1,791111,51,124161.0
arunachal-pradesh,2022,2,791110,97,272742.0
arunachal-pradesh,2022,3,791111,98,283474.0
arunachal-pradesh,2022,4,791111,86,169298.0
arunachal-pradesh,2023,1,791110,74,172651.0
arunachal-pradesh,2023,2,791110,94,280971.0
arunachal-pradesh,2023,3,791110,91,197412.0
arunachal-pradesh,2023,4,791110,106,279822.0
arunachal-pradesh,2024,1,791110,126,258768.0
arunachal-pradesh,2024,2,790104,176,109202.0
arunachal-pradesh,2024,3,791111,95,275822.0
arunachal-pradesh,2024,4,791110,110,265075.0
assam,2020,2,781022,36,6530.0
assam,2020,3,781032,84,19733.0
assam,2020,4,781032,57,43429.0
assam,2021,1,781022,81,81773.0
assam,2021,2,781032,79,47103.0
assam,2021,3,781032,121,117986.0
assam,2021,4,781032,166,209584.0
assam,2022,1,781032,277,421464.0
assam,2022,2,781022,181,236099.0
assam,2022,3,781032,288,333196.0
assam,2022,4,781032,386,453000.0
assam,2023,1,781022,390,583421.0
assam,2023,2,781022,315,523785.0
assam,2023,3,781032,345,438318.0
assam,2023,4,781032,366,494519.0
assam,2024,1,781032,425,583554.0
assam,2024,2,781032,298,404482.0
assam,2024,3,781003,274,449785.0
assam,2024,4,781003,330,543498.0
bihar,2020,2,800001,126,21331.0
bihar,2020,3,800001,357,78191.0
bihar,2020,4,800001,283,183251.0
bihar,2021,1,800001,393,228403.0
bihar,2021,2,800001,471,351926.0
bihar,2021,3,800001,622,539872.0
bihar,2021,4,800001,766,735530.0
bihar,2022,1,800001,704,796836.0
bihar,2022,2,800001,798,849952.0
bihar,2022,3,800001,1202,1329988.0
bihar,2022,4,800001,1363,1554670.0
bihar,2023,1,800001,1144,1280139.0
bihar,2023,2,800001,1237,1451616.0
bihar,2023,3,800001,1838,2006880.0
bihar,2023,4,800001,1458,2069004.0
bihar,2024,1,800001,1347,1827045.0
bihar,2024,2,800001,1449,2116116.0
bihar,2024,3,800001,1838,2276161.0
bihar,2024,4,800001,1839,2605774.0
chandigarh,2020,2,160101,31,6158.0
chandigarh,2020,3,160047,48,11353.0
chandigarh,2020,4,160101,35,26948.0
chandigarh,2021,1,160101,51,30704.0
chandigarh,2021,2,160002,61,56288.0
chandigarh,2021,3,160002,80,59092.0
chandigarh,2021,4,160002,136,111958.0
chandigarh,2022,1,160101,120,170516.0
